#      x          Cp  
     1.00000    0.22645
     0.97580    0.21869
     0.94795    0.20962
     0.92003    0.19981
     0.89201    0.18914
     0.86391    0.17751
     0.83578    0.16490
     0.80771    0.15132
     0.77980    0.13684
     0.75216    0.12151
     0.72489    0.10548
     0.69812    0.09079
     0.67194    0.05840
     0.64643   -0.07188
     0.62168   -0.22800
     0.59773   -0.37417
     0.57461   -0.50647
     0.55235   -0.62813
     0.53095   -0.74188
     0.51040   -0.84923
     0.49068   -0.95082
     0.47175   -1.04656
     0.45360   -1.13561
     0.43618   -1.21651
     0.41945   -1.28940
     0.40338   -1.38110
     0.38792   -1.59666
     0.37304   -1.62930
     0.35871   -1.66472
     0.34488   -1.70622
     0.33154   -1.75257
     0.31864   -1.79867
     0.30616   -1.84072
     0.29407   -1.87687
     0.28236   -1.90628
     0.27100   -1.92852
     0.25996   -1.94331
     0.24924   -1.95047
     0.23882   -1.94985
     0.22868   -1.94139
     0.21881   -1.92504
     0.20919   -1.90084
     0.19983   -1.86888
     0.19069   -1.82929
     0.18179   -1.78227
     0.17311   -1.72808
     0.16465   -1.66703
     0.15640   -1.59948
     0.14835   -1.52582
     0.14051   -1.44652
     0.13286   -1.36205
     0.12541   -1.27294
     0.11816   -1.17972
     0.11110   -1.08295
     0.10423   -0.98321
     0.09755   -0.88107
     0.09107   -0.77710
     0.08479   -0.67189
     0.07870   -0.56599
     0.07281   -0.45996
     0.06712   -0.35434
     0.06163   -0.24965
     0.05635   -0.14640
     0.05128   -0.04506
     0.04642    0.05391
     0.04178    0.15005
     0.03735    0.24293
     0.03316    0.33216
     0.02919    0.41734
     0.02545    0.49808
     0.02195    0.57404
     0.01869    0.64485
     0.01567    0.71018
     0.01291    0.76969
     0.01040    0.82308
     0.00815    0.87002
     0.00616    0.91022
     0.00445    0.94338
     0.00300    0.96921
     0.00183    0.98741
     0.00095    0.99768
     0.00035    0.99972
     0.00004    0.99314
     0.00003    0.97751
     0.00031    0.95319
     0.00087    0.92054
     0.00169    0.87979
     0.00277    0.83119
     0.00410    0.77496
     0.00566    0.71135
     0.00745    0.64061
     0.00947    0.56303
     0.01171    0.47892
     0.01416    0.38862
     0.01681    0.29250
     0.01967    0.19099
     0.02273    0.08452
     0.02598   -0.02641
     0.02943   -0.14128
     0.03307   -0.25953
     0.03689   -0.38056
     0.04091   -0.50375
     0.04510   -0.62844
     0.04949   -0.75393
     0.05406   -0.87954
     0.05881   -1.00452
     0.06375   -1.12816
     0.06887   -1.24971
     0.07417   -1.36844
     0.07967   -1.48363
     0.08536   -1.59458
     0.09123   -1.70060
     0.09731   -1.80107
     0.10358   -1.89537
     0.11006   -1.98298
     0.11674   -2.06339
     0.12364   -2.13618
     0.13076   -2.20098
     0.13811   -2.25749
     0.14570   -2.30549
     0.15354   -2.34482
     0.16163   -2.37538
     0.17000   -2.39715
     0.17865   -2.41017
     0.18761   -2.41455
     0.19689   -2.41042
     0.20651   -2.39801
     0.21649   -2.37757
     0.22687   -2.34941
     0.23766   -2.31394
     0.24891   -2.27169
     0.26065   -2.22355
     0.27292   -2.17108
     0.28576   -2.11724
     0.29924   -2.06623
     0.31341   -2.02058
     0.32834   -1.97875
     0.34410   -1.77149
     0.36078   -1.67017
     0.37847   -1.59364
     0.39728   -1.51085
     0.41732   -1.42106
     0.43871   -1.32624
     0.46159   -1.22805
     0.48609   -1.12763
     0.51233   -1.02587
     0.54044   -0.92357
     0.57048   -0.82144
     0.60250   -0.72013
     0.63643   -0.62020
     0.67212   -0.52201
     0.70930   -0.42564
     0.74758   -0.33078
     0.78646   -0.23662
     0.82541   -0.14203
     0.86391   -0.04641
     0.90146    0.04853
     0.93762    0.13362
     0.97197    0.19875
     1.00000    0.22645
